Team_A_Name, Team_A_Status, Team_A_Carry_Name, Team_A_Carry_Hero, Team_A_Mid_Name, Team_A_Mid_Hero,Team_A_Off_Name, Team_A_Off_Hero, Team_A_Support_Name, Team_A_Support_Hero, Team_A_HardSupport_Name, Team_A_HardSupport_Hero,Team_B_Name, Team_B_Status, Team_B_Carry_Name, Team_B_Carry_Hero, Team_B_Mid_Name, Team_B_Mid_Hero, Team_B_Off_Name, Team_B_Off_Hero, Team_B_Support_Name, Team_B_Support_Hero, Team_B_HardSupport_Name, Team_B_HardSupport_Hero,Tier, Time 
Moonlight Wispers, win, Tiamani, Faceless Void, indra, Lina, TeRakudA, Kunkka, BenZzarSi, Vengeful Spirit, Stardust, Rubick, Freedom Fighters, loss, Imissed, Juggernaut, Freedom13, Magnus, Xolli, Death Prophet, Akujin, Bane, All_After_me, Crystal Maiden, 4, 40:36
La Passion, loss, Тиктоник, Marci, moonboyy, Lion, Seeyouinhell, Timbersaw, Sairus, Death Prophet, eshkeree_enjoyer, Spectre, Yakuza, win, Skadi, Rubick, 35street, Mars, Dr0nched In Sw0t, Queen of Pain, vogel, Shadow Shaman, kismet, Drow Ranger, 4, 39:47
4Pirates, win, Otaker, Clinkz, nattynarwhal_, Void Spirit, mister moral, Dawnbreaker, ariel, Rubick, perdan4ik, Undying, AVULUS, loss, Knight~, Ursa, Mo13ei, Puck, Xibbe, Tidehunter, dEsire, Dark Willow, Fly, Shadow Shaman, 2, 29:04
Runa, win, shigetsu, Templar Assassin, Nicky`Cool, Keeper of the Light, mangekyou, Enigma, queezy, Dark Willow, Till the end, Tusk, One Move, loss, WoE, Kunkka, Difference, Death Prophet, Corrupted, Dawnbreaker, Grip, Nature's Prophet, bb3px, Undying, 2, 27:43
diffmakers, win, Arti_Shock, Kunkka, Miyaoo, Queen of Pain, Astral, Shadow Shaman, OneJey, Gyrocopter, kur0patbI4, Warlock, PLATOON 2.0, loss, Egn, Dragon Knight, Sk1tels, Magnus, Kamaara, Dawnbreaker, Akpire, Nature's Prophet, Frosti, Shadow Demon, 4, 37:04
Project Achilles, loss, Scarycrow, Ursa, Ravenn, Shadow Fiend, kitara, Mars, KiritO, Phoenix, ito, Ringmaster, Prime Legion, win, Unirraros, Phantom Assassin, Flastyle, Puck, Exmile, Pudge, Sqeemz, Bane, unnv, Witch Doctor, 4, 37:34
Ghost Sheep, win, k@pib@r@, Lifestealer, CHON, Axe, Тиктоник, Marci, moonboyy, Ancient Apparition, eshkeree_enjoyer, Void Spirit, Air Defence, loss, Kerrigan, Clinkz, aloxa, Clockwerk, kismet, Bristleback, Dr0nched In Sw0t, Puck, supamiq, Lion, 4, 32:23
Passion.ua, loss, Crystallize, Sven, Moonlight, Leshrac, BBODDY, Tidehunter, QBFY, Shadow Shaman, kreker), Snapfire, Wildcard, win, Yamsun, Gyrocopter, RCY, Puck, Fayde, Enigma, Bignum, Bane, Speeed, Naga Siren, 2, 37:30
Nigma Galaxy, loss, Ghost, Terrorblade, Suma1L-, Puck, No!ob™, Lycan, OmaR, Batrider, GH, Undying, NAVIJ, win, gotthejuice, Faceless Void, Niku, Tiny, pma, Bristleback, Zayac, Rubick, Riddys, Warlock, 2, 53:56
CardigansGaming, win, murasame-, Sven, Awaken, Puck, darkke, Dark Seer, gR, Chaos Knight, Sighted, Warlock, molodaya gvardiya, loss, LLlaKaJl, Kunkka, спортик, Ember Spirit, kae, Brewmaster, Şţåňđøfəř, Dark Willow, skitzo, Ancient Apparition, 4, 43:05
